Professor Name,Research Area,Biography,Research Interests,Education,doc_id
Sami Rollins,Computer Science Education,"Sami Rollins is a teaching professor and Director of Graduate Computing Programs in the Khoury College of Computer Sciences at Northeastern University in Oakland. She was previously a professor of Computer Science at the University of San Francisco (USF), and she has served as a program director in the Division of Undergraduate Education at the National Science Foundation and as a faculty member at Mount Holyoke College. She holds a BA in Computer Science from Mills College and MS and PhD degrees from the University of California at Santa Barbara. Rollins's research interests include broadening participation in computing, computer science education, and mobile and distributed computing. She contributes to an NSF-funded S-STEM project that awards scholarships to students studying computing at USF. The project implements a suite of community-building activities designed to improve scholars' self-efficacy and develop computing identity. Rollins also co-directed a project that developed system support and user-driven strategies for improving energy efficiency in residential buildings.Rollins has served in a number of service roles. She was chair of the Computer Science department at USF from 2013-2016. She also served on the editorial board of Sigmobile’s GetMobile Magazine from 2014-2018. She has been involved with the discipline-specific Networking Networking Women community since 2010, serving as mentor, fellowship co-chair, and workshop co-chair. She was co-chair of the board of Networking Networking Women from 2016 to 2018.",Broadening participation in computing; Computer science education; Mobile and distributed computing; Home energy management,"PhD in Computer Science, University of California Santa Barbara; MS in Computer Science, University of California Santa Barbara; BA in Computer Science, Mills College",2005
Scott Valcourt,Systems and Networking,"Scott Valcourt is an associate teaching professor at the Roux Institute at Northeastern University's Portland campus. He teaches courses and learning modules in computer science to advance educational and research opportunities in Maine. His areas of focus include cyberinfrastructure, broadband expansion, telehealth, computer science education (K-20), cybersecurity, AR/VR/XR, and high-performance computing (HPC).",Systems and networking; Software engineering; Programming languages; Network science; Science of learning; Team science,"PhD in Engineering: Systems Design, University of New Hampshire; MS in Computer Science, University of New Hampshire; BA in Computer Science with Mathematics Emphasis, Saint Anselm College",2006
Seth Cooper,Games,"Seth Cooper is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Tools for assisting game design and development; Interfaces for problem-solving; Scientific discovery games; Crowdsourcing games; Serious games; Citizen science,"PhD in Computer Science and Engineering, University of Washington; MS in Computer Science and Engineering, University of Washington; BS in Electrical Engineering and Computer Science, University of California, Berkeley",2007
Silvio Amir,Artificial Intelligence; Natural Language Processing,"Silvio Amir is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is a core faculty member in Northeastern's Institute for Experiential AI and the NULab for Texts, Maps, and Networks.",Natural language processing; Machine learning; Information retrieval; Social media analysis,"Postdoctoral Fellow, Center for Language and Speech Processing, Johns Hopkins University; PhD in Information Systems and Computer Engineering, Instituto Superior Tecnico, Universidade de Lisboa — Portugal; MS in Computer Science and Engineering, Faculdade de Ciencias da Universidade de Lisboa — Portugal",2008
Sina Fazelpour,Artificial Intelligence,"Sina Fazelpour is an assistant professor in the Khoury College of Computer Sciences and the College of Social Sciences and Humanities at Northeastern University, based in Boston.",Data-driven and artificial intelligence technologies; Diversity in social groups and networks,"PhD in Philosophy, University of British Columbia — Canada; BA in Philosophy, University of Toronto — Canada; MS in Medical Biophysics, University of Toronto — Canada; BE in Electrical and Biomedical Engineering, McMaster University — Canada",2009
Soheil Behnezhad,Algorithms and Theory,"Soheil Behnezhad is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.Before joining Northeastern, he was a Motwani postdoc at Stanford. He is broadly interested in theoretical computer science. Much of his work focuses on graph algorithms and the theoretical foundations of big data algorithms. This includes sublinear time algorithms, parallel algorithms, streaming algorithms, dynamic algorithms, and graph sparsifiers.Behnezhad is the author of many papers in leading conferences in theoretical computer science for which he has won a number of awards, including a STOC 2025 best paper award, a SODA 2023 best paper award, an NSF CAREER award, a Google Research award, and a best thesis award at UMD, among others.",Graph algorithms; Parallel algorithms; Sublinear algorithms; Dynamic algorithms; Streaming algorithms,"PhD in Computer Science, University of Maryland; BSc in Software Engineering, Sharif University of Technology — Iran",2010
Stacy C. Marsella,Human-Centered Computing,"Stacy Marsella is a professor in the Khoury College of Computer Sciences and the College of Science at Northeastern University, based in Boston.","Human behavior modeling, particularly health applications","PhD in Computer Science, Rutgers University; MS in Computer Science, Worcester Polytechnic Institute; BA in Economics, Harvard University",2011
Stavros Tripakis,Formal Methods,"Stavros Tripakis is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Foundations of software and system design; Computer-aided verification and synthesis; Cyber-physical systems,"PhD in Computer Science, Joseph Fourier University — France; MS in Computer Science, Ecole Normale Superieure — France; BS in Computer Science, University of Crete — Greece",2012
Stephen Intille,Human-Centered Computing; Personal Health Informatics,"Stephen Intille is a professor in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston.","Personal health informatics; Interactive, mobile sensing; Machine learning; Behavioral theory and measurement","PhD in Media Arts and Sciences, Massachusetts Institute of Technology; SM in Media Arts and Sciences, Massachusetts Institute of Technology; BSE in Computer Science and Engineering, University of Pennsylvania",2013
Steve Holtzen,Formal Methods; Programming Languages,"Steve Holtzen is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Artificial intelligence; Programming languages; Formal methods,"PhD in Computer Science, UCLA; MS in Computer Science, UCLA; BS in Computer Science, UCLA",2014
Tamara Bonaci,Cybersecurity and Privacy,Tamara Bonaci is an associate teaching professor at the Khoury College of Computer Sciences at Northeastern University’s Seattle campus. She teaches security and privacy courses at Northeastern University’s Seattle campus and the University of Washington. Bonaci's research focuses on the security and privacy of emerging and forthcoming biomedical technologies.,Security and privacy of biomedical technologies; Security and privacy issues of neural engineering systems; Quantifying private information from electrophysiological signals,"PhD in Electrical Engineering, University of Washington; MS in Electrical Engineering, University of Washington",2015
Timothy W. Bickmore,Human-Centered Computing; Personal Health Informatics,"Timothy Bickmore is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He served as the college's associate dean of research from 2017 to 2022.",Human–computer interaction; Dialogue systems; Intelligent virtual agents; Avatars; Personal health informatics; Human–robot interaction,"PhD in Media Arts and Sciences, Massachusetts Institute of Technology; MS in Computer Science, Arizona State University; BSE in Computer Systems Engineering, Arizona State University",2016
Tina Eliassi-Rad,Artificial Intelligence; Machine Learning; Network Science,"Tina Eliassi-Rad is the inaugural Joseph E. Aoun Professor at Northeastern University, based in Boston. She is also a core faculty member at Northeastern's Network Science Institute and the Institute for Experiential AI, as well as an external faculty member at the Santa Fe Institute and the Vermont Complex Systems Center.",Data mining; Machine learning; Network science; Ethics and artificial intelligence,"PhD in Computer Science, University of Wisconsin-Madison; MS in Computer Science, University of Illinois at Urbana-Champaign; BS in Computer Science, University of Wisconsin-Madison",2017
Usama Fayyad,Artificial Intelligence; Data Science,"Usama Fayyad is a professor of the practice in the Khoury College of Computer Sciences and the executive director of the Institute for Experiential AI at Northeastern University, based at the Roux Institute in Portland, Maine.",Data mining; Image processing; Machine intelligence; Machine learning; Inductive learning,"PhD in Computer Science and Engineering, University of Michigan; MS in Mathematics and Computer Science and Engineering, University of Michigan; BS in Electrical Engineering and Computer Engineering, University of Michigan",2018
Vance Ricks,Computer Science Education,"Vance Ricks is an associate teaching professor at Northeastern University, holding joint appointments with the Khoury College of Computer Sciences and the College of Social Sciences and Humanities. Ricks’ teaching and research focus on ethical dimensions of computer technologies, and he is affiliated with the Algorithm Auditing Research Group at Northeastern.",Friendships and parasocial relationships online; Human-computer interaction; Artificial intelligence,"PhD in Philosophy, Stanford University; BA, Guilford College",2019
Varun Mishra,Artificial Intelligence; Human-Centered Computing; Personal Health Informatics,"Varun Mishra is an assistant professor in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston.",Ubiquitous computing for mental and behavioral health; mHealth sensing and intervention; Digital phenotyping; Personal health informatics,"PhD in Computer Science, Dartmouth College; BTech in Computer Science and Engineering, Shiv Nadar University — India",2020
Virgil Pavlu,Natural Language Processing,"Virgil Pavlu is an associate teaching professor at the Khoury College of Computer Sciences at Northeastern University. He earned his doctorate in computer science from Northeastern and his bachelor’s in mathematics from the University of Bucharest, Romania. Pavlu’s research interests include information retrieval, including diversity, learning to rank, metasearch, score distribution models, and relevance feedback. At Northeastern, he teaches machine learning, information retrieval, and algorithms.",Information retrieval; Machine learning; Algorithms,"PhD in Computer Science, Northeastern University; BS in Mathematics with minor in Computer Science, University of Bucharest — Romania",2021
Wallace Lages,Games; Human-Centered Computing,"Wallace Lages is an assistant professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",AR/VR applications; User experience,"PhD in Computer Science, Virginia Tech; MS in Computer Science, Universidade Federal de Minas Gerais — Brazil; BS in Computer Science, Universidade Federal de Minas Gerais — Brazil",2022
Wengong Jin,Artificial Intelligence; Computational Biology,"Wengong Jin is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Computational biology; Machine learning,"PhD in Electrical Engineering and Computer Science, Massachusetts Institute of Technology",2023
William Robertson,Cybersecurity and Privacy,"William Robertson is an associate professor in the Khoury College of Computer Sciences and the College of Engineering at Northeastern University, based in Boston. He co-directs the Northeastern Systems Security Lab and is principal investigator for the Cybersecurity and Privacy Institute's Diverge Lab.",Systems security; Web security; Mobile security,"PhD in computer science, University of California, Santa Barbara; BS in computer science, University of California, Santa Barbara",2024
Yifan Hu,Data Science; Machine Learning,"Yifan Hu is a professor of the practice in the Khoury College of Computer Sciences at Northeastern University, based in Seattle.",Data visualization; Machine learning; Artificial intelligence; Natural language processing and information retrieval; Network science,"PhD in Optimization, Loughborough University — United Kingdom; MSc in Applied Mathematics, Shanghai Jiao Tong University — China; BSc in Applied Mathematics, Shanghai Jiao Tong University — China",2025
Yun Raymond Fu,Artificial Intelligence,"Yun Raymond Fu is a professor in the College of Engineering and the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Machine learning; Computational intelligence; Big data mining; Computer vision; Pattern recognition; Cyber-physical systems,"PhD in Electrical and Computer Engineering, University of Illinois at Urbana-Champaign; MS in Statistics, University of Illinois at Urbana-Champaign; BEng in Information Engineering, Xi'an Jiaotong University — China",2026
Zhengzhong Jin,Algorithms and Theory; Cybersecurity and Privacy,"Zhengzhong Jin is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is a member of the Cybersecurity and Privacy Institute.",,"PhD in Computer Science, Johns Hopkins University; BS in Information and Computing Science, Fudan University — China",2027
Ziming Zhao,Cybersecurity and Privacy; Systems and Networking,"Ziming Zhao is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Security and privacy; Systems and networking,"PhD in Computer Science, Arizona State University; MS in Cryptography, Beijing University of Posts and Telecommunications — China; BE in Automation, Beijing University of Posts and Telecommunications — China",2028
